,"Регион","Округ","Кол-во реализуемых направлений государственной молодeжной политики","Суммарное кол-во грантов","Суммарный бюджет грантов, руб","Cуммарное кол-во детских и молодeжных общественных объединений","Средняя численность молодeжи, задействованной в программном мероприятии","Cуммарное кол-во структур","Всего кол-во сотрудников","С профильным образованием всего","Объeм финансирования","Расходы на мероприятия","Расходы на административные функции","Расходы на ремонт","Количество новостей, опубликованных от региона в сфере государственной молодeжной политики","Количество упоминаний регионального органа исполнительной власти","Количество просмотров оф. сайта","Численность подписчиков и участников в соц. сетях","Количество публикаций в соц. сетях","Кол-во пользователей, посетивших оф. сайт","Упоминания в печатных СМИ","Количество статей, опубликованных региональным органом исполнительной власти","Количество статей, опубликованных в печатном издании субъекта","Финансирование информационного освещения","Кол-во упоминаний в ТВ-сюжетах","Кол-во упоминаний в интернет-СМИ","Cуммарное кол-во региональных объединений, ед","Cуммарное число членов региональных объединений","Cуммарное число уч-в мер-й рег. объединений, чел","Cуммарный объeм фин. поддержки региональных объединений","Кол-во школ","Кол-во СПО","Кол-во вузов","Число учащихся школ","Число учащихся СПО","Число учащихся вузов","Cуммарное кол-во органов самоуправления","Суммарный объем финанс-я ОМСУ","Cуммарный объем финанс-я УССУ","Кол-во форумов, прошедших на территории субъекта","Численность участников форумов","Объeм регионального финансирования","Кол-во госуд. учр. на территории субъекта, работающих с добровольцами (волонтерами)","Число граждан, вовлеченных в добровольческую деятельность на тер. субъекта","Число граждан, вовлеченных центрами поддержки добровольчества на базе образовательных организаций","Кол-во региональных ресурсных центров поддержки добровольчества на тер. субъекта"
64,Ямало-Ненецкий автономный округ,УФО,19,259,77188482,2783,22101,76,1774,182,4721714068,1725252048,2867795264,128666756,47,2364,180294,25449,3109,74951,601,1241,128,245000,235,1528,35,642,1350,2974251,215,19,0,34219,3717,0,147,2978451,0,40,12728,96243918,170,1500,27650,1
65,Чувашская Республика,ПФО,7,29,9952171,2058,22713,60,228,150,295420634,143423428,80990560,71006646,0,4460,2568000,8601,1560,756000,2515,0,400,1050000,295,1650,64,19324,88341,30000,1771,83,1357,125231,27561,32645,435,17000,16770000,20,5230,2778500,601,11883,42230,1
66,Челябинская область,УФО,14,118,29205785,2489,63583,140,366,216,604898574,429700192,175198382,0,32,150,10294,1466,846,1813,0,18,58,0,28,122,43,1740,47827,1837406,464,179,58,58634,11763,14444,461,6266600,0,126,13844,22458316,536,34921,110600,16
67,Ненецкий автономный округ,СЗФО,3,15,5560199,195,1602,6,42,38,77638048,50499832,27138216,0,1,1269,122133,7769,2032,23183,362,130,362,307600,126,781,30,1701,13113,3766342,58,11,0,1236,275,0,34,129598,0,2,50,7709200,27,384,4121,1
68,Тюменская область,УФО,6,99,19173737,6106,82292,154,4274,24,1390446648,1245084184,144778090,584374,151,4837,565700,199774,26787,202000,1454,43,213,29583076,327,3056,58,5974,16500,0,4483,71,181,127967,21950,11636,967,0,0,18,1586,6000000,10,72591,249320,1
69,Республика Адыгея,ЮФО,0,16,12560775,17,7832,24,88,0,68191660,29476600,38715060,0,0,60,27314,881,19,16087,7,0,2,0,11,42,7,6180,32193,0,0,0,0,1,0,0,147,100000,0,18,2660,794920,192,11250,66100,1
70,Калужская область,ЦФО,0,0,0,1843,12406,72,674,154,373326170,180671866,192654304,0,200,1406,140000,8380,1200,52500,48,346,201,0,158,1200,20,12719,78665,0,532,18,14,22319,1694,895,462,1904150,0,34,9758,5284640,7,4680,47090,1
71,Красноярский край,СФО,18,630,34397747,1826,16326,254,2824,1064,4086675838,2525919250,1499735278,61021310,51,430,39102,106709,10593,27930,108,34,20,2271030,76,246,37,10344,1435,4685717,565,96,5,39387,3746,102,297,31000,0,220,11160,70455964,1245,54942,181502,2
72,Саратовская область,ПФО,11,59,18379614,69670,38190,88,818,434,175449368,66217612,109231756,0,23,10053,365032,5665,3856,133967,145,12,135,200000,427,9481,89,21915,270266,1020000,2278,123,155,68443,6752,40602,878,45000,0,32,47726,0,753,13387,109747,3
73,Свердловская область,УФО,21,364,168753447,5295,157395,222,2206,518,1256454584,367251028,832438210,56765346,29,5692,705097,28399,10866,328523,715,464,61,1940000,124,4853,57,3145,204909,30999991,1132,372,527,215865,16524,46140,1022,726889,10886070,116,52138,5724436,553,41530,156561,3
74,Псковская область,СЗФО,9,21,33208548,833,10699,70,224,48,244375034,45118628,196556682,2699724,0,382,3607,7169,2860,1618,18,0,153,2586500,23,341,5,616,3300,0,119,10,28,14120,1328,8250,110,0,0,64,2386,6700000,244,8889,24026,1
75,Смоленская область,ЦФО,5,33,7954176,1276,20651,64,230,14,135990266,37340980,95693886,2955400,48,408,69987,6389,3277,26430,155,687,183,340000,10,243,7,6870,6377,456800,470,15,17,43778,1372,5112,319,33500,0,0,0,258600,930,8387,54973,3
76,Астраханская  область,ЮФО,10,30,6083109,2144,25767,82,598,148,279060858,86260214,191200644,1600000,15,4765,65000,27162,8815,39500,70,150,42,0,420,4275,111,42950,39648,0,379,47,39,34731,7868,10157,205,0,10970493,38,5776,21149400,381,5633,47503,1
77,Республика Татарстан,ПФО,19,5822,86190100,5309,60481,848,7868,5394,8798358040,3225852314,2798745304,2773760422,47,34132,842842,1400876,51209,653835,7450,49,45,19456250,6358,20324,53,84577,357792,335297375,819,422,487,29348,27134,39557,1582,650000,76442894,152,27434,230728808,968,25888,93597,2
78,Ростовская область,ЮФО,3,56,33203206,9057,62546,120,562,182,499011608,326678274,172333334,0,200,1230,96490,85296,4651,43595,319,296,367,2486000,393,518,223,264066,247188,43193205,3824,749,411,136742,35844,82637,1437,2290600,0,142,22192,35610000,2317,81219,249123,3
79,Республика Хакасия,СФО,4,16,1010000,824,4832,46,320,48,8347852,3566880,3966172,814800,3,5022,4120096,8070,4317,190259,1510,10,56,89000,52,3460,28,12483,31000,0,136,17,3,35188,3620,7230,249,0,0,12,800,1600704,224,3244,15020,1
80,Липецкая область,ЦФО,16,87,60047311,2804,57877,50,288,32,226620252,89093182,137527070,0,51,658,53244,22466,1213,27385,325,123,47,263500,49,284,42,55161,46921,3185000,560,125,93,48005,17300,9507,336,129950,50000,32,12694,10377910,825,49503,139274,1
81,Мурманская область,СЗФО,13,86,101693653,1064,32709,86,512,108,690628050,213934010,334793710,141900330,3,94,8364,3640,1638,43104,1,14,1,0,23,70,10,586,5909,1286750,120,30,34,128874,3173,535,105,0,107573,76,12252,41682616,167,5479,62176,1
82,Оренбургская область,ПФО,8,42,86062611,4013,57645,98,362,176,518267996,326470422,188073780,3723794,315,577,19606,14624,3602,10306,375,565,13,3478375,28,174,17,167700,174042,38669234,724,263,211,131955,32236,20740,807,135500,1517730,30,4382,139162846,3,49000,65829,1
83,Республика Бурятия,ДФО,7,37,5603000,31,9199,52,112,0,83506816,58945772,24561044,0,20,3583,648500,24000,1235,16500,80,25,18,828050,427,3076,6,700,500,0,310,74,4,20971,3000,550,22,0,0,0,0,1965766,15,15698,91259,1
84,Кабардино-Балкарская Республика,СКФО,0,3,5400000,624,9489,56,252,130,41704628,14890956,26813672,0,2,897,316489,46591,262,27658,148,43,81,0,132,617,11,19191,890,0,544,2,27,65470,1619,2473,220,0,7400000,14,700,1852082,202,0,35528,1
